Date,Open,High,Low,Close,Volume,MA7,MA30,Daily_Return,Volatility_Amplitude,Dist_MA7,Dist_MA30,Volume_MA7,Volume_Momentum,Next_Day_Close,Target,Close_SP500,Return_SP500,Return_SP500_Yesterday,Correlation_BTC_SP500,RSI_14
2026-01-05,93859.71,94444.44,91262.94,93747.97,18546.41829,90892.54428571428,89130.18466666667,-0.0011905001624233,0.0338963331550885,0.0314154008640125,0.0518094442483559,13134.167971428573,0.412074090292204,91364.16,0,6902.0498046875,0.006354126864826393,0.0,0.037142645429292416,64.91237633479258
2026-01-06,93747.97,93747.97,90675.52,91364.16,14276.49025,91423.39285714286,89154.51200000002,-0.0254278572645359,0.032773509655729,-0.0006478960722384,0.0247844775371546,13522.435082857144,0.0557632676749765,91099.99,0,6944.81982421875,0.006196712678341321,0.006354126864826393,-0.04208101172155831,54.791087885005524
2026-01-07,91364.16,91687.99,89311.0,91099.99,16132.79117,91746.3857142857,89101.885,-0.0028913963637382,0.0260166568597577,-0.0070454624370564,0.0224249464531531,14930.03791714286,0.0805592899048249,90641.28,0,6920.93017578125,-0.003439923431013958,0.006196712678341321,0.006171062738663705,53.79014894980507
2026-01-08,91100.0,92082.55,89694.66,90641.28,15590.27939,91838.69285714286,89056.082,-0.0050353457738748,0.0262117453347969,-0.0130382175517835,0.0177999970849829,14671.938828571429,0.0625916296515795,90504.7,0,6921.4599609375,7.65482590914246e-05,-0.003439923431013958,0.0025638710861825387,52.01329622827492
2026-01-09,90641.27,90832.0,90404.0,90504.7,3104.11722,91821.07714285712,88989.12599999999,-0.0015067088093536,0.0047219108911426,-0.0143363286929109,0.0170310021923353,14107.174551428572,-0.7799618053435329,91013.65,1,6966.27978515625,0.006475487031883276,7.65482590914246e-05,-0.019986559707172464,51.46814029291368
2026-01-10,90504.7,91283.89,90236.0,91013.65,5477.13594,91747.35142857142,89013.96699999999,0.005623464858731,0.0115782937239723,-0.0079969766663252,0.0224648228519014,13400.118300000002,-0.591262120424713,91296.2,1,6966.27978515625,0.0,0.006475487031883276,0.00040016005820400525,53.42704303431323
2026-01-11,91013.66,92519.95,90128.44,91296.2,16188.08268,91381.1357142857,89049.17333333334,0.0031043691683203,0.0262763853250159,-0.0009294666084175,0.025233548864687,12759.330705714285,0.2687250650812071,95414.0,1,6966.27978515625,0.0,0.0,-0.005292313087769014,54.52445262675557
2026-01-12,91296.2,96495.0,91042.66,95414.0,23021.51482,91619.14,89290.56766666667,0.0451037392574937,0.0597214341889366,0.0414199478405931,0.0685787143407229,13398.63021,0.7181991337307011,96951.78,1,6977.27001953125,0.001577633215136931,0.0,0.006346038711222453,66.80179078615704
2026-01-13,95413.99,97924.49,94559.28,96951.78,22851.89428,92417.37142857142,89641.22433333333,0.0161170285405734,0.0352695658152437,0.0490644615978196,0.0815535008701149,14623.687928571428,0.5626628789959673,95604.8,0,6963.740234375,-0.0019391230550597216,0.001577633215136931,-0.02103328097029819,70.05332639334766
2026-01-14,96951.78,97193.34,95134.48,95604.8,21725.81369,93060.91571428571,89899.27033333335,-0.0138932982973597,0.0212359174839286,0.0273356893835483,0.0634658061796429,15422.691145714283,0.4086914848215222,95550.94,0,6926.60009765625,-0.005333360445499591,-0.0019391230550597216,0.04978623400930038,64.12848836676596
2026-01-15,95604.81,95871.47,94293.46,95550.94,11167.7146,93762.2957142857,90209.52766666668,-0.0005634653737609,0.0165055502960572,0.0190763704332143,0.0592111772613463,14790.896175714286,-0.2449602466727689,95147.77,0,6944.47021484375,0.0025799262171273263,-0.005333360445499591,0.011709392955157941,63.89578118356025
2026-01-16,95550.94,95639.45,95021.67,95147.77,4280.80137,94425.59142857142,90530.573,-0.00421942473826,0.006465451831243,0.0076481233583257,0.0510015218836624,14958.993911428572,-0.7138309303856661,93673.14,0,6940.009765625,-0.0006423023039563436,0.0025799262171273263,-0.0762736696641557,62.079782554049544
2026-01-17,95147.77,95531.12,93615.4,93673.14,6895.17819,94805.51857142858,90715.113,-0.0154983138333142,0.0201341555351218,-0.0119442263329367,0.03260787428,15161.571375714284,-0.5452200818020317,92631.0,0,6940.009765625,0.0,-0.0006423023039563436,-0.21191058588174178,55.82966877739447
2026-01-18,93673.14,93673.14,91910.2,92631.0,14295.52747,94996.20428571428,90857.44966666668,-0.0111252809503343,0.0188201228228284,-0.0248978820101127,0.0195201421549916,14891.206345714285,-0.0400020563737417,88427.66,0,6940.009765625,0.0,0.0,-0.22699002607014002,51.856231408174494
2026-01-19,92630.99,92870.0,87895.98,88427.66,22007.3261,93998.1557142857,90849.743,-0.04537714646038,0.0536971482222094,-0.059261755424411,-0.0266603175751416,14746.322242857144,0.4923942212547237,89454.73,1,6940.009765625,0.0,0.0,-0.17493379544851528,39.61092959664619
2026-01-20,88427.66,90574.0,87263.53,89454.73,20617.50372,92927.14857142858,90877.541,0.01161480468894,0.037437041758201,-0.0373671055747449,-0.0156563545221805,14427.12359142857,0.4290793025609938,89559.67,1,6796.85986328125,-0.02062675805627745,0.0,-0.2122426550216297,43.143867952292325
2026-01-21,89454.73,90359.99,88515.37,89559.67,10825.50492,92063.55857142856,90946.66333333332,0.0011731073359676,0.0206207094918291,-0.0271973906970574,-0.0152506236347538,12869.936624285716,-0.1588532845164016,89600.26,1,6875.6201171875,0.011587741323274559,-0.02062675805627745,-0.16464485344080435,43.50752667070597
2026-01-22,89559.68,91224.99,88578.36,89600.26,13918.48919,91213.46142857142,91011.02366666666,0.0004531056832717,0.0295515794607573,-0.0176860016417062,-0.0155010196548681,13262.904422857142,0.0494299548757232,89225.34,0,6913.35009765625,0.005487502192628835,0.011587741323274559,-0.16689411915647612,43.65763832626643
2026-01-23,89600.26,89957.39,89162.08,89225.34,4226.56737,90367.4,91077.69266666664,-0.0041843628578756,0.0088762019217354,-0.012637964575721,-0.0203381597889841,13255.156708571429,-0.6811378799266179,86670.36,0,6915.60986328125,0.0003268698377891788,0.005487502192628835,-0.16098146976279126,42.53340055583251
2026-01-24,89225.34,89319.13,86074.72,86670.36,14426.22019,89367.00285714286,91054.38599999998,-0.0286351388518104,0.0363619796797636,-0.0301749277801512,-0.0481473347148811,14331.019851428571,0.0066429562974847,88347.08,1,6915.60986328125,0.0,0.0003268698377891788,-0.15324010287795578,35.772810855611255
2026-01-25,86670.36,88860.0,86509.63,88347.08,17766.51453,88755.01428571428,91070.055,0.019345944795891,0.0271184981809236,-0.0045961829762212,-0.0298997842924328,14826.875145714284,0.1982642569925073,89250.0,1,6915.60986328125,0.0,0.0,-0.14921461188815607,42.25909249093888
2026-01-26,88347.08,89523.16,87304.33,89250.0,13125.40425,88872.49142857142,91113.298,0.0102201453630385,0.025114921738217,0.0042477550180079,-0.0204503408492577,13558.029167142857,-0.0319091301404853,89299.99,1,6950.22998046875,0.005006083031276365,0.0,-0.1284134216885858,45.453686701512865
2026-01-27,89249.99,90600.0,88833.65,89299.99,14332.18502,88850.3857142857,91182.06,0.000560224152406,0.0197910386320492,0.005060240111507,-0.0206407927173394,12660.126495714288,0.1320728133997508,84650.16,0,6978.60009765625,0.004081896177137168,0.005006083031276365,-0.1287822615177491,45.63303025456489
2026-01-28,89300.0,89348.0,83383.33,84650.16,30431.38201,88149.02714285713,91054.21566666669,-0.0520698768197088,0.0667936170212765,-0.0396926348056768,-0.0703323357384218,15460.96608,0.9682717012985,84260.49,0,6978.02978515625,-8.172305219089626e-05,0.004081896177137168,-0.08989126036825476,34.32729970936312
2026-01-29,84650.16,84735.75,81118.0,84260.49,35195.84793,87386.20285714285,90941.29133333333,-0.004603299036883,0.0427376628703359,-0.0357689515615262,-0.0734627938022754,18500.588757142858,0.9024177225933584,78741.09,0,6969.009765625,-0.001292631274007694,-8.172305219089626e-05,-0.09298033639892883,33.57654188602169
2026-01-30,84260.5,84270.02,75719.9,78741.09,39491.89133,85888.45285714285,90604.693,-0.0655041211481062,0.1014724574385389,-0.0832168076077813,-0.130938062998569,23538.49218,0.6777579051369804,76968.21,0,6939.02978515625,-0.004301899620894223,-0.001292631274007694,0.03927927641106288,25.177171336847437
2026-01-31,78741.1,79424.0,75700.0,76968.21,25395.48168,84502.43142857144,90170.46233333331,-0.0225154334902611,0.0472942338880203,-0.0891598182584839,-0.1464143799610178,25105.52953571429,0.0115493339374992,78738.61,1,6939.02978515625,0.0,-0.004301899620894223,0.04400401309047778,23.172021405368113
2026-02-01,76968.22,79360.0,74604.0,78738.61,42273.59016,83129.79285714286,89774.149,0.0230015712978681,0.0617917369012821,-0.0528232142318583,-0.1229255762702914,28606.54034,0.4777596192186028,75770.21,0,6939.02978515625,0.0,0.0,0.03492946609212734,29.233060351662274
2026-02-02,78738.6,79186.81,72945.5,75770.21,39120.10889,81204.10857142857,89248.83166666668,-0.0376992986921281,0.0792662048855326,-0.0669165472908161,-0.1510229480314953,32320.069574285717,0.2103968031406867,73165.83,0,6976.43994140625,0.00539126612916796,0.0,-0.007506123965387989,25.58803679134192
2026-02-03,75770.21,76971.52,71888.0,73165.83,38375.36,78899.22857142857,88559.03566666668,-0.0343720836988574,0.0670912750538767,-0.0726673590507674,-0.1738185782036539,35754.80885714286,0.0732922710712135,62909.86,0,6917.81005859375,-0.008403983020698336,0.00539126612916796,0.05980965668204873,22.891163534678697
2026-02-04,73165.84,73341.18,62345.0,62909.86,106298.82899,75793.47142857143,87531.09866666667,-0.1401744311279689,0.1502911741326279,-0.1699831289653104,-0.2812856121048879,46593.01556857144,1.2814326931374271,70580.26,1,6882.72021484375,-0.005072391906223106,-0.008403983020698336,0.15499845717749228,15.82004229040109
2026-02-05,62909.87,71751.33,60000.0,70580.26,92539.21531,73839.15285714286,86838.30199999998,0.1219266547522668,0.1867962849072808,-0.0441350249974816,-0.1872220163862714,54784.92519428572,0.6891364728860159,69289.38,0,6798.39990234375,-0.012251015567674717,-0.005072391906223106,-0.08772579507607023,32.59119761566183
2026-02-06,70580.26,71690.07,67300.0,69289.38,44255.48036,72488.90857142858,86111.28166666668,-0.0182895330790789,0.0621996858611743,-0.0441381810608424,-0.1953507292085557,55465.437912857145,-0.2021070773923994,70330.38,1,6932.2998046875,0.0196957966973359,-0.012251015567674717,-0.09720417384568572,31.45539727212764
2026-02-07,69289.37,72271.41,68888.0,70330.38,21420.53168,71540.64714285715,85434.25166666666,0.0150240938833764,0.0488301452300692,-0.016917195904594,-0.176789418436021,54897.58791285714,-0.6098092376298511,70138.0,0,6932.2998046875,0.0,0.0196957966973359,-0.09691372719837771,33.46900664735456
2026-02-08,70330.38,71453.53,68308.0,70138.0,29152.72842,70311.98857142858,84755.36166666666,-0.0027353755233514,0.0447250533837581,-0.002474522125794,-0.1724653329208258,53023.17909285715,-0.4501889754866242,68841.29,0,6932.2998046875,0.0,0.0,-0.10319246066777667,33.27446752619967
2026-02-09,70138.0,70527.59,67800.0,68841.29,20373.77072,69322.14285714286,84016.28300000001,-0.018487980837777,0.0388889047306737,-0.0069364973055404,-0.1806196663092083,50345.13078285714,-0.59531795025275,67082.52,0,6964.81982421875,0.004691086716887227,0.0,-0.10850028631395307,31.927382332052048
2026-02-10,68841.28,69292.88,65756.0,67082.52,28718.24602,68453.09857142858,83209.16033333333,-0.0255480432670629,0.0513773131469955,-0.0200221553155613,-0.1938084733547425,48965.54307142857,-0.4135009188378201,66272.17,0,6941.81005859375,-0.003303712975458173,0.004691086716887227,-0.10150285892323149,30.144809185038397
2026-02-11,67082.52,68410.52,65118.0,66272.17,24271.74283,68933.42857142857,82237.766,-0.0120798980121797,0.0490816385550215,-0.0386062122047357,-0.1941394662885176,37247.38790571429,-0.3483638935583892,68853.96,1,6941.47021484375,-4.895607156218951e-05,-0.003303712975458173,-0.11647001560614974,29.332208687535342
2026-02-12,66272.17,69482.97,65872.46,68853.96,20244.54955,68686.81428571428,81301.172,0.0389573783384489,0.0544800328705095,0.0024334468853141,-0.1531000315715005,26919.57851142857,-0.2479618675528193,69822.95,1,6832.759765625,-0.01566101212770199,-4.895607156218951e-05,-0.18656980722547964,35.314965123238395
2026-02-13,68853.97,70560.01,68730.13,69822.95,18114.78393,68763.03857142857,80441.777,0.014072972117657,0.0265762453493965,0.0154139702170146,-0.1320063702720043,23185.193307142858,-0.2186917016379058,68832.58,0,6836.169921875,0.0004990891480125548,-0.01566101212770199,-0.18615059560359573,37.45516493030325
2026-02-14,69822.94,70983.0,68000.0,68832.58,22290.05208,68549.06714285715,79551.16500000001,-0.0141838771040004,0.0427223488440904,0.0041359112378875,-0.1347382530475827,23309.41050714286,-0.0437316261958014,68892.43,1,6836.169921875,0.0,0.0004990891480125548,-0.19018455084223782,36.13906086389144
2026-02-15,68832.59,70126.67,67294.11,68892.43,15515.76534,68371.12857142856,78675.987,0.0008693556351721,0.0411514371317423,0.0076245842282216,-0.1243525168613391,21361.272924285717,-0.2736497775673253,67503.52,0,6836.169921875,0.0,0.0,-0.1893182448804053,36.284765431108845
2026-02-16,68892.43,69241.5,66621.06,67503.52,16489.06921,68180.01857142858,77803.66633333333,-0.0201605604563518,0.0380366899527277,-0.0099222409380813,-0.13238638766976,20806.31556571429,-0.2074969180429266,66461.0,0,6836.169921875,0.0,0.0,-0.18942794850851158,34.327393628130636
2026-02-17,67503.52,68476.22,65870.0,66461.0,15492.43839,68091.23,76931.333,-0.0154439353681112,0.0386086532968947,-0.023941849780067,-0.1360997215529854,18916.91447571429,-0.1810272013499169,67003.73,1,6843.22021484375,0.0010313220779065713,0.0,-0.1900986644228879,32.89306608104701
2026-02-18,66461.0,67320.0,65631.83,67003.73,14542.26988,68195.73857142856,76217.202,0.0081661425497659,0.0254009118129429,-0.0174792237227558,-0.1208844166176555,17526.98976857143,-0.1702927843276025,68020.01,1,6881.31005859375,0.005566070147410729,0.0010313220779065713,-0.1769698241096335,34.4291067887048
2026-02-19,67003.73,68318.39,66280.2,68020.01,35351.87091,68076.60285714285,75502.71133333334,0.0151675138085595,0.0304190527900462,-0.0008313114163703,-0.0991050679001224,19685.178534285715,0.7958623463042296,67975.93,0,6861.89013671875,-0.0028221256867719813,0.005566070147410729,-0.16026668151214443,37.322205608555244
2026-02-20,68020.0,68698.7,67534.69,67975.93,8032.84131,67812.74285714286,74783.25333333334,-0.0006478976771538,0.0171127609526609,0.0024064377280964,-0.0910273761826179,18244.90101714286,-0.5597212995317232,67643.4,0,6909.509765625,0.006939724763506794,-0.0028221256867719813,-0.1737696755741076,37.24544503226287
2026-02-21,67975.93,68245.0,67190.0,67643.4,8175.13484,67642.86,74051.358,-0.0048918786399832,0.0155201995765265,7.98310420336451e-06,-0.0865339701130126,16228.484268571428,-0.496247788474478,64656.02,0,6909.509765625,0.0,0.006939724763506794,-0.18277585403089408,36.63334634602061
2026-02-22,67643.39,67684.86,63888.79,64656.02,33075.90923,67037.65857142858,73232.38066666666,-0.0441635169378708,0.0561188609855301,-0.03552687582146,-0.1171115917384123,18737.076252857143,0.7652652304788684,64058.15,0,6909.509765625,0.0,0.0,-0.18083456125765837,31.607764197342092
2026-02-23,64656.01,65026.75,62510.28,64058.15,23102.83622,66545.46285714286,72478.64033333334,-0.0092467815443606,0.0389208984594007,-0.0373776475562657,-0.1161789224329683,19681.90011142857,0.1738112727533362,67988.04,1,6837.75,-0.010385652247284827,0.0,-0.1733113285424638,30.700048548207903
2026-02-24,64058.15,69988.83,63913.27,67988.04,30749.99259,66763.61142857143,71800.00566666666,0.0613487901227243,0.0948444499255755,0.018339759417277,-0.0530914396353089,21861.55071142857,0.4065787462151445,67485.18,0,6890.06982421875,0.0076516140863223114,-0.010385652247284827,-0.09633094430134638,42.407901637324834
2026-02-25,67988.04,68860.0,66500.0,67485.18,20737.77792,66832.39,71074.51166666667,-0.0073963008788016,0.0347119875789918,0.0097675692878856,-0.050500968385127,22746.623288571427,-0.0883140034934648,65872.1,0,6946.1298828125,0.008136355657339944,0.0076516140863223114,-0.10550274890774682,41.44307847248031
2026-02-26,67485.19,68216.8,64914.46,65872.1,21228.58424,66525.5457142857,70293.582,-0.0239028740972648,0.0489342921017189,-0.0098224780761983,-0.0629002232380189,20729.010907142856,0.0241002011670995,66973.26,1,6908.85986328125,-0.005365580569328343,0.008136355657339944,-0.10031179835049422,38.4232096556441
2026-02-27,65872.09,67760.0,63030.0,66973.26,22548.71649,66382.30714285714,69704.352,0.016716791588061,0.0718058285383081,0.0089022645126072,-0.0391810829831687,22802.707361428573,-0.0111386278568924,65776.47,0,6878.8798828125,-0.00433935281103115,-0.005365580569328343,-0.11114025667042474,41.554110036493206
2026-02-28,66973.26,68199.99,65056.0,65776.47,23201.85859,66115.60285714285,69088.21800000001,-0.0178696691784152,0.0469439594250004,-0.0051293921931804,-0.0479350618074996,24949.38218285714,-0.0700427601793632,68830.06,1,6878.8798828125,0.0,-0.00433935281103115,-0.11134778388580116,39.22004731233412
2026-03-01,65776.48,70096.0,65259.21,68830.06,32010.38431,66711.89428571428,68757.85033333334,0.046423584843701,0.0735337312060481,0.0317509454193283,0.0010502025051189,24797.164337142854,0.2908889046661153,68338.0,0,6878.8798828125,0.0,0.0,-0.1398133583802198,47.34653610839013
2026-03-02,68830.06,69258.08,66158.0,68338.0,24972.2418,67323.30142857143,68470.17666666667,-0.007148911391331,0.0450396236760508,0.0150720263251668,-0.0019304268383904,25064.22227714286,-0.0036697917902979,72666.77,1,6881.6201171875,0.0003983547353176853,0.0,-0.13996840783626055,46.272889820253404
2026-03-03,68338.01,74050.0,67400.0,72666.77,44919.0761,67991.69142857143,68267.78199999999,0.0633433721584812,0.0973104133409796,0.0687595568399702,0.0644372480125399,27088.37706428572,0.6582416876950119,70890.72,0,6816.6298828125,-0.009444031095625416,0.0003983547353176853,-0.20039489768757915,55.77413425304279
2026-03-04,72666.77,73558.15,70645.47,70890.72,26590.51253,68478.19714285714,68105.13233333333,-0.0244410202902922,0.0400826952952497,0.035230525302965,0.0409012885113108,27924.482008571427,-0.0477706078186863,68114.02,0,6869.5,0.007756049264286302,-0.009444031095625416,-0.19667240440039857,51.731905861130336
2026-03-05,70891.02,71419.98,67744.78,68114.02,22629.88722,68798.47142857143,67936.73866666667,-0.0391728035511408,0.0518429555675739,-0.0099486429619594,0.0026095060907054,28124.66814857143,-0.1953722938007548,67262.91,0,6830.7099609375,-0.005646704863891072,0.007756049264286302,-0.2061994835905871,46.10586779063141
2026-03-06,68114.02,68551.04,66915.26,67262.91,12719.54315,68839.85,68081.84033333333,-0.0124953717311061,0.0240153201939923,-0.0229073712391877,-0.0120286162848093,26720.50052857143,-0.5239781104998623,65971.2,0,6740.02001953125,-0.013276795812569242,-0.005646704863891072,-0.31041166834731,44.50806094176416
