Date,Open,High,Low,Close,Volume,MA7,MA30,Daily_Return,Volatility_Amplitude,Dist_MA7,Dist_MA30,Volume_MA7,Volume_Momentum,Next_Day_Close,Target
2023-12-28,42563.76,43111.0,41300.0,42066.95,42597.18912,42976.897142857146,42403.51133333333,-0.011672136108276264,0.04254793279541093,-0.021172937167437737,-0.007937109988076884,31953.096047142863,0.3331161730667066,42140.28,1
2023-12-29,42066.94,42612.32,41520.3,42140.28,22906.57818,42753.77142857143,42550.721999999994,0.0017434118098439417,0.02595910232595945,-0.014349410778798566,-0.009645946783229565,32860.16017285715,-0.30290728774593484,42283.58,1
2023-12-30,42140.29,42899.0,41965.84,42283.58,23585.91603,42652.64,42670.757333333335,0.0034003088255918712,0.022144128576239118,-0.008652688321285568,-0.00907359881871325,32637.528897142856,-0.2773375673038546,44179.55,1
2023-12-31,42283.58,44184.1,42180.77,44179.55,27174.29903,42738.84285714286,42828.39733333334,0.04483939155577652,0.04737843862794971,0.03370954959339431,0.031548055747933845,32659.394484285713,-0.16794847365969706,44946.91,1
2024-01-01,44179.55,45879.63,44148.34,44946.91,65146.40661,43087.125714285714,42994.219000000005,0.01736912213908925,0.039187587922466405,0.043163340670405184,0.045417524621158924,36107.44645428572,0.804237435967105,42845.23,0
2024-01-02,44946.91,45500.0,40750.0,42845.23,81194.55173,43003.75142857143,43022.689999999995,-0.046759165424274995,0.10568023474806165,-0.0036862232550740667,-0.004124800192642344,42536.495078571425,0.9088209214233854,44151.1,1
2024-01-03,42845.23,44729.58,42613.77,44151.1,48038.06334,43230.514285714286,43025.282666666666,0.030478772082679805,0.04938262672414186,0.02129481292314685,0.026166413409889025,44377.57200571429,0.08248516466413185,44145.11,0
2024-01-04,44151.1,44357.46,42450.0,44145.11,48075.25327,43527.39428571429,43038.03,-0.00013567045894661658,0.04320300060474143,0.01419142414615995,0.025723296349763263,45160.15259857143,0.06455028390494817,43968.32,0
2024-01-05,44145.12,44214.42,43397.05,43968.32,17835.06144,43788.54285714286,43061.20266666667,-0.00400497269007317,0.01851552334663481,0.004105574909027091,0.021065768653868097,44435.65020714286,-0.5986316987180468,43929.02,0
2024-01-06,43968.32,44480.59,43572.09,43929.02,23023.8508,44023.60571428571,43053.136999999995,-0.0008938253724500483,0.02066260434785773,-0.0021485226562216794,0.020344231826823714,44355.35517428571,-0.4809228624247901,46951.04,1
